geoid,total,hispanic,white,black,indian,asian,pacific
040130715101,1200,130,935,4,0,105,0
040130715102,1040,210,830,0,0,0,0
040130715103,925,90,800,0,10,20,0
040130715111,1970,240,1370,65,80,150,0
040130715112,655,35,610,0,0,15,0
040130715121,1130,80,865,0,0,85,0
040130715122,1475,445,685,10,0,0,0
040130715123,915,160,725,15,0,0,0
040130715124,1295,390,880,10,20,0,0
040130715131,520,95,385,0,0,35,0
040130715132,700,90,575,35,0,0,0
040130715141,520,25,495,0,0,0,0
040130715142,835,80,675,35,0,20,0
040130715143,1495,195,1255,4,10,20,0
040130715151,705,155,405,95,0,30,10
040130715152,665,135,390,115,4,0,0
040130715153,1530,125,1250,60,0,65,4
040130715161,2070,300,1485,185,25,10,20
040130715162,805,20,760,0,20,0,0
040130715171,905,150,675,10,4,20,40
040130715172,505,75,395,25,0,10,0
040130715173,1360,235,925,35,50,110,0
040130716001,1695,375,1195,75,10,0,10
040130716002,1080,495,525,10,15,10,0
040130717011,2020,430,1350,160,20,10,4
040130717021,640,0,640,0,0,0,0
040130717022,630,15,420,100,95,0,0
040130717023,500,0,445,15,0,40,0
040130717024,685,45,640,0,0,0,0
040130717025,550,0,550,0,0,0,0
040130718011,1700,75,1505,70,0,15,0
040130718012,610,0,585,0,0,0,0
040130718013,885,0,775,110,0,0,0
040130718014,840,105,740,0,0,0,0
040130718015,475,20,455,0,0,0,0
040130718016,440,0,425,15,0,0,0
040130718021,1040,45,965,15,15,0,0
040130718022,655,0,615,0,15,30,0
040130718023,800,60,615,85,0,40,0
040130718024,855,15,825,0,0,15,0
040130719031,705,290,410,10,0,0,0
040130719032,515,105,345,0,0,0,0
040130719033,610,100,485,20,0,0,0
040130719034,620,270,295,0,15,0,0
040130719035,475,185,290,0,0,0,0
040130719036,500,20,480,0,0,0,0
040130719037,805,35,775,0,0,0,0
040130719061,1655,455,915,35,35,180,15
040130719062,1325,550,575,40,35,95,0
040130719063,755,185,505,20,20,10,0
040130719091,680,125,530,15,10,0,0
040130719092,740,275,365,4,0,85,10
040130719093,495,85,395,4,10,0,0
040130719094,1205,365,635,80,0,0,15
040130719101,960,255,510,0,35,30,0
040130719102,355,160,200,0,0,0,0
040130719103,545,95,380,0,0,70,0
040130719104,1315,535,745,0,4,0,25
040130719105,1505,440,985,20,10,55,0
040130719111,2090,575,1280,50,0,60,0
040130719121,795,565,195,0,0,25,0
040130719122,325,125,205,0,0,0,0
040130719123,915,290,510,80,0,15,0
040130719131,1510,555,870,10,0,65,0
040130719132,1480,415,855,175,10,0,0
040130719133,635,105,520,10,0,0,0
040130719141,625,330,265,0,10,4,0
040130719142,470,265,180,0,0,4,0
040130719143,1050,315,450,25,230,20,0
